Wall time,Step,Value
1635748995.461609,0,0.010201210156083107
1635749043.875701,1,0.524840772151947
1635749092.287168,2,0.594046950340271
1635749140.832653,3,0.6044135689735413
1635749189.524759,4,0.6105179786682129
1635749237.865513,5,0.6153914332389832
1635749286.534864,6,0.6201024055480957
1635749334.704512,7,0.624544084072113
1635749383.394515,8,0.6334412097930908
1635749431.534296,9,0.6406967639923096
1635749479.967668,10,0.6425252556800842
1635749528.520315,11,0.645444929599762
1635749577.022035,12,0.6482275724411011
1635749625.052027,13,0.6490163207054138
1635749673.075825,14,0.6515086889266968
1635749721.248755,15,0.6523669958114624
1635749769.498274,16,0.6542562246322632
1635749817.671008,17,0.6547083258628845
1635749866.01797,18,0.655342698097229
1635749914.625844,19,0.6563245058059692
1635749963.089076,20,0.6568113565444946
1635750011.462528,21,0.6575239896774292
1635750059.406331,22,0.6589873433113098
1635750107.912386,23,0.658345639705658
1635750156.420147,24,0.659090518951416
1635750204.826723,25,0.6610658168792725
1635750253.359322,26,0.6602658033370972
1635750302.104225,27,0.6611707210540771
1635750350.756028,28,0.6607518792152405
1635750399.058316,29,0.6617442965507507
1635750447.454593,30,0.6618162393569946
1635750496.822819,31,0.662098228931427
1635750545.407835,32,0.662386953830719
1635750593.551897,33,0.6631713509559631
1635750642.120779,34,0.663012683391571
1635750690.093595,35,0.6629773378372192
1635750737.98557,36,0.6636083126068115
1635750786.715095,37,0.6637889742851257
1635750835.115517,38,0.664093554019928
1635750883.617902,39,0.6640686988830566
1635750931.956713,40,0.6645707488059998
1635750980.24542,41,0.6645721197128296
1635751029.145067,42,0.6649969220161438
1635751077.562944,43,0.6650732159614563
1635751126.172121,44,0.6651679873466492
1635751175.391367,45,0.6650834083557129
1635751223.932679,46,0.666233479976654
1635751272.62925,47,0.6660013794898987
1635751321.400946,48,0.6655117273330688
1635751370.548405,49,0.6665331721305847
1635751418.299223,50,0.6662084460258484
1635751466.69396,51,0.6665361523628235
1635751515.311677,52,0.6666356325149536
1635751563.22178,53,0.6658300757408142
1635751613.258399,54,0.666530966758728
1635751661.941702,55,0.6671038866043091
1635751710.256851,56,0.6675294041633606
1635751759.079205,57,0.667424738407135
1635751807.289619,58,0.6679825782775879
1635751856.960187,59,0.6672011613845825
1635751904.972314,60,0.6676149368286133
1635751953.506479,61,0.6679179072380066
1635752001.976282,62,0.6681156754493713
1635752050.786673,63,0.6675365567207336
1635752099.743333,64,0.66804438829422
1635752148.620599,65,0.6684131622314453
1635752196.896257,66,0.6686380505561829
1635752245.882265,67,0.6690287590026855
1635752294.166458,68,0.6693299412727356
1635752342.815683,69,0.6688900589942932
1635752391.14933,70,0.6687250733375549
1635752439.304584,71,0.6689855456352234
1635752487.306227,72,0.6691465377807617
1635752535.196314,73,0.6685282588005066
1635752583.654768,74,0.669474184513092
1635752632.324655,75,0.6695551872253418
1635752680.868972,76,0.6693580746650696
1635752729.54423,77,0.6698729395866394
1635752778.213485,78,0.6695529222488403
1635752826.599563,79,0.6694571375846863
1635752875.160499,80,0.6699492931365967
1635752923.968103,81,0.6698485612869263
1635752971.983367,82,0.6702660322189331
1635753020.149376,83,0.6698117256164551
1635753068.490418,84,0.6704605221748352
1635753116.959336,85,0.6703630685806274
1635753165.15561,86,0.6705233454704285
1635753213.777353,87,0.6704118251800537
1635753262.905435,88,0.6704644560813904
1635753311.420963,89,0.6705189347267151
1635753360.209053,90,0.6707754731178284
1635753408.616939,91,0.6707643866539001
1635753457.013283,92,0.6701540946960449
1635753505.681473,93,0.6708970069885254
1635753554.019047,94,0.6708258390426636
1635753602.979641,95,0.6708343029022217
1635753651.118798,96,0.6706225275993347
1635753699.738352,97,0.6708236932754517
1635753748.603262,98,0.6710765361785889
1635753796.623832,99,0.6710749268531799
1635753845.140467,100,0.6713356375694275
1635753893.414667,101,0.6712461709976196
1635753942.042186,102,0.6710848808288574
1635753990.882789,103,0.6711539030075073
1635754039.492591,104,0.6714088916778564
1635754087.742636,105,0.6715004444122314
1635754136.138428,106,0.6718236207962036
1635754185.41772,107,0.6708997488021851
1635754233.893344,108,0.6718314290046692
1635754282.761611,109,0.6715813875198364
1635754331.221201,110,0.6720351576805115
1635754381.054331,111,0.6721940636634827
1635754429.359861,112,0.6714962720870972
1635754478.662841,113,0.6719117164611816
1635754527.016388,114,0.6716328859329224
1635754575.263639,115,0.672246515750885
1635754623.303055,116,0.6720123291015625
1635754672.266198,117,0.6723921298980713
1635754720.916474,118,0.6720114946365356
1635754768.756207,119,0.6724023222923279
1635754818.30592,120,0.6721789240837097
1635754866.692525,121,0.6721681356430054
1635754915.710732,122,0.6719116568565369
1635754964.155333,123,0.6725843548774719
1635755014.515154,124,0.6722696423530579
1635755063.453803,125,0.6726834774017334
1635755113.141867,126,0.6723735928535461
1635755161.416894,127,0.6727082133293152
1635755210.260197,128,0.6727773547172546
1635755258.451015,129,0.6730566620826721
1635755308.243616,130,0.6726998686790466
1635755356.599498,131,0.6725860238075256
1635755405.015317,132,0.6726194620132446
1635755453.749864,133,0.6727503538131714
1635755502.1791,134,0.6731629371643066
1635755549.720922,135,0.6735655665397644
1635755599.052011,136,0.6730707287788391
1635755648.837086,137,0.6728020310401917
1635755698.153817,138,0.6732878088951111
1635755746.450351,139,0.6729999780654907
1635755794.803859,140,0.6734551191329956
1635755842.945892,141,0.6727553009986877
1635755891.066117,142,0.6729862093925476
1635755940.126035,143,0.6736083626747131
1635755988.781109,144,0.6735683679580688
1635756036.92768,145,0.6735098958015442
1635756084.871868,146,0.6734492182731628
1635756133.063786,147,0.6733741164207458
1635756181.039512,148,0.6735876202583313
1635756229.979012,149,0.6736196875572205
1635756278.359363,150,0.6732724905014038
1635756326.617693,151,0.6732968688011169
1635756374.869261,152,0.6740304231643677
1635756422.997818,153,0.6730796694755554
1635756471.321836,154,0.6739780306816101
1635756519.606478,155,0.6736776232719421
1635756567.85184,156,0.6737427115440369
1635756616.075743,157,0.6737713813781738
1635756664.46862,158,0.6735151410102844
1635756713.088975,159,0.6737454533576965
1635756762.102146,160,0.6741696000099182
1635756810.34713,161,0.6739119291305542
1635756858.353332,162,0.6737618446350098
1635756906.915619,163,0.6737255454063416
1635756954.976605,164,0.6735976338386536
1635757003.44582,165,0.6741214394569397
1635757051.678908,166,0.6741348505020142
1635757100.077704,167,0.6740136742591858
1635757148.343697,168,0.6744833588600159
1635757196.291295,169,0.6743854880332947
1635757245.058214,170,0.6741029620170593
1635757293.359883,171,0.6739637851715088
1635757342.154817,172,0.6746360659599304
1635757390.776952,173,0.6739462018013
1635757439.176236,174,0.6742508411407471
1635757487.825011,175,0.6745707988739014
1635757536.95576,176,0.6743269562721252
1635757585.713066,177,0.6741921305656433
1635757633.899696,178,0.6748756170272827
1635757682.444617,179,0.6748468279838562
1635757730.292983,180,0.6742828488349915
1635757778.739861,181,0.6744772791862488
1635757826.988797,182,0.6747047305107117
1635757876.321968,183,0.6748694777488708
1635757924.377074,184,0.6740524172782898
1635757973.035632,185,0.6742216348648071
1635758021.348906,186,0.6752616167068481
1635758070.240051,187,0.6747195720672607
1635758119.680692,188,0.6745859384536743
1635758168.280982,189,0.6748897433280945
1635758216.752743,190,0.6749379634857178
1635758265.212675,191,0.6748014688491821
